datetime,load
2024-01-05 00:45:00,2200.86
2024-01-05 00:50:00,2185.49
2024-01-05 00:55:00,2166.49
2024-01-05 01:00:00,2133.56
2024-01-05 01:05:00,2104.18
2024-01-05 01:10:00,2081.83
2024-01-05 01:15:00,2052.09
2024-01-05 01:20:00,2030.33
2024-01-05 01:25:00,2010.67
2024-01-05 01:30:00,1993.88
2024-01-05 01:35:00,1972.93
2024-01-05 01:40:00,1964.39
2024-01-05 01:45:00,1944.28
2024-01-05 01:50:00,1937.84
2024-01-05 01:55:00,1928.72
2024-01-05 02:00:00,1915.22
2024-01-05 02:05:00,1897.98
2024-01-05 02:10:00,1889.17
2024-01-05 02:15:00,1872.21
2024-01-05 02:20:00,1877.61
2024-01-05 02:25:00,1856.69
2024-01-05 02:30:00,1851.43
2024-01-05 02:35:00,1848.77
2024-01-05 02:40:00,1840.49
2024-01-05 02:45:00,1827.19
2024-01-05 02:50:00,1819.82
2024-01-05 02:55:00,1822.28
2024-01-05 03:00:00,1815.43
2024-01-05 03:05:00,1811.82
2024-01-05 03:10:00,1809.67
2024-01-05 03:15:00,1806.35
2024-01-05 03:20:00,1800.95
2024-01-05 03:25:00,1801.2
2024-01-05 03:30:00,1795.77
2024-01-05 03:35:00,1794.32
2024-01-05 03:40:00,1799.73
2024-01-05 03:45:00,1793.46
2024-01-05 03:50:00,1796.78
2024-01-05 03:55:00,1802.34
2024-01-05 04:00:00,1814.89
2024-01-05 04:05:00,1822.35
2024-01-05 04:10:00,1836.72
2024-01-05 04:15:00,1855.87
2024-01-05 04:20:00,1861.23
2024-01-05 04:25:00,1874.27
2024-01-05 04:30:00,1874.9
2024-01-05 04:35:00,1884.43
2024-01-05 04:40:00,1896.89
2024-01-05 04:45:00,1928.98
2024-01-05 04:50:00,1956.94
2024-01-05 04:55:00,1978.31
2024-01-05 05:00:00,2005.69
2024-01-05 05:05:00,2039.88
2024-01-05 05:10:00,2068.78
2024-01-05 05:15:00,2113.16
2024-01-05 05:20:00,2148.07
2024-01-05 05:25:00,2195.06
2024-01-05 05:30:00,2224.72
2024-01-05 05:35:00,2275.97
2024-01-05 05:40:00,2339.77
2024-01-05 05:45:00,2380.04
2024-01-05 05:50:00,2414.6
2024-01-05 05:55:00,2482.77
2024-01-05 06:00:00,2527.49
2024-01-05 06:05:00,2625.99
2024-01-05 06:10:00,2723.89
2024-01-05 06:15:00,2802.16
2024-01-05 06:20:00,2882.93
2024-01-05 06:25:00,2949.45
2024-01-05 06:30:00,3052.59
2024-01-05 06:35:00,3096.98
2024-01-05 06:40:00,3165.85
2024-01-05 06:45:00,3259.54
2024-01-05 06:50:00,3395.59
2024-01-05 06:55:00,3399.55
2024-01-05 07:00:00,3442.73
2024-01-05 07:05:00,3566.32
2024-01-05 07:10:00,3650.12
2024-01-05 07:15:00,3733.57
2024-01-05 07:20:00,3786.73
2024-01-05 07:25:00,3908.77
2024-01-05 07:30:00,4027.84
2024-01-05 07:35:00,4063.32
2024-01-05 07:40:00,4131.37
2024-01-05 07:45:00,4220.31
2024-01-05 07:50:00,4334.76
2024-01-05 07:55:00,4376.73
2024-01-05 08:00:00,4412.71
2024-01-05 08:05:00,4451.53
2024-01-05 08:10:00,4524.52
2024-01-05 08:15:00,4581.71
2024-01-05 08:20:00,4623.72
2024-01-05 08:25:00,4729.96
2024-01-05 08:30:00,4727.28
2024-01-05 08:35:00,4775.11
2024-01-05 08:40:00,4772.36
2024-01-05 08:45:00,4803.17
2024-01-05 08:50:00,4808.85
2024-01-05 08:55:00,4836.35
2024-01-05 09:00:00,4881.09
2024-01-05 09:05:00,4840.25
2024-01-05 09:10:00,4962.51
2024-01-05 09:15:00,4964.04
2024-01-05 09:20:00,5026.24
2024-01-05 09:25:00,5100.15
2024-01-05 09:30:00,5201.2
2024-01-05 09:35:00,5175.9
2024-01-05 09:40:00,5227.7
2024-01-05 09:45:00,5293.31
2024-01-05 09:50:00,5362.38
2024-01-05 09:55:00,5372.39
2024-01-05 10:00:00,5392.63
2024-01-05 10:05:00,5361.04
2024-01-05 10:10:00,5417.25
2024-01-05 10:15:00,5445.26
